"Package","Version","Built"
"abind","1.4-5","4.2.0"
"askpass","1.1","4.2.1"
"assertthat","0.2.1","4.2.1"
"audio","0.1-10","4.2.0"
"backports","1.4.1","4.2.0"
"base64enc","0.1-3","4.2.0"
"basemaps","0.0.5","4.2.1"
"beepr","1.3","4.2.1"
"BH","1.78.0-0","4.2.0"
"bit","4.0.4","4.2.1"
"bit64","4.0.5","4.2.1"
"blob","1.2.3","4.2.1"
"bookdown","0.30","4.2.2"
"brew","1.0-8","4.2.1"
"brio","1.1.3","4.2.1"
"broom","1.0.1","4.2.1"
"bslib","0.4.0","4.2.1"
"cachem","1.0.6","4.2.1"
"callr","3.7.2","4.2.1"
"cellranger","1.1.0","4.2.1"
"classInt","0.4-7","4.2.1"
"cli","3.4.1","4.2.1"
"clipr","0.8.0","4.2.1"
"colorspace","2.0-3","4.2.1"
"commonmark","1.8.0","4.2.1"
"cpp11","0.4.2","4.2.1"
"crayon","1.5.1","4.2.1"
"credentials","1.3.2","4.2.1"
"crosstalk","1.2.0","4.2.1"
"curl","4.3.2","4.2.1"
"data.table","1.14.2","4.2.1"
"DBI","1.1.3","4.2.1"
"dbplyr","2.2.1","4.2.1"
"desc","1.4.2","4.2.1"
"devtools","2.4.4","4.2.1"
"dichromat","2.0-0.1","4.2.0"
"diffobj","0.3.5","4.2.1"
"digest","0.6.29","4.2.1"
"downlit","0.4.2","4.2.1"
"dplyr","1.0.10","4.2.1"
"DT","0.27","4.2.2"
"dtplyr","1.2.2","4.2.1"
"e1071","1.7-11","4.2.1"
"ellipsis","0.3.2","4.2.1"
"evaluate","0.16","4.2.1"
"fansi","1.0.3","4.2.1"
"farver","2.1.1","4.2.1"
"fastmap","1.1.0","4.2.1"
"filelock","1.0.2","4.2.1"
"flextable","0.8.3","4.2.2"
"fontawesome","0.3.0","4.2.1"
"forcats","0.5.2","4.2.1"
"fs","1.5.2","4.2.1"
"gargle","1.2.1","4.2.1"
"gdtools","0.2.4","4.2.2"
"generics","0.1.3","4.2.1"
"geojsonsf","2.0.3","4.2.1"
"geometa","0.7","4.2.1"
"geometries","0.2.0","4.2.1"
"gert","1.9.0","4.2.1"
"ggplot2","3.3.6","4.2.1"
"ggspatial","1.1.6","4.2.1"
"gh","1.3.1","4.2.1"
